---,biomeID,sortOrder,biomeColor,terrainTier,aslUpperM,aslLowerM,minSlopeDeg,maxSlopeDeg,bSlopeAgnostic,slopeRangeLabel,biomeName,bZoneNordic,bZoneTemperate,bZoneTropical,features,quarryPitMinerals,deepMineMinerals,derrickMinerals,cavernMinerals,flora,fauna,crops,hazards
ASLB_001,ASLB_001,1,808000,Midlands,1800.0,1601.0,0.0,5.0,false,0°-5°,Mid Tundra,true,false,false,,"(Chalk,Clay,Coal,Flint,Gypsum,Limestone,Peat,Phosphate,Salt,Sand,Stone)","(Ag,Coal,Cu,Fe,Pb,Salt,Zn)","(Bitumen,NatGas,Petrol)",,"(Grassland,Flowers)",(Game),"(Grazing,Apiary,Herbs)","(Wildfire,Tornado)"
ASLB_002,ASLB_002,2,CC9900,Highlands,2200.0,2001.0,0.0,5.0,false,0°-5°,High Tundra,true,false,false,,"(Clay,Flint,Granite,Gypsum,Limestone,Marble,Sand,Slate,Stone)","(Ag,Au,Coal,Cu,Fe,Gems,Pb,Salt,Sn,Zn)",(NatGas),,"(Grassland,Flowers)",(Game),"(Grazing,Herbs,Apiary)",(Wildfire)
ASLB_003,ASLB_003,3,069BA2,Wet Coastal,520.0,0.0,0.0,5.0,false,0°-5°,Marsh,true,true,true,(Flat Bottom Boat Navigable),"(Amber,Clay,Coquina,Coral,Guano,Peat,Phosphate,Salt,Sand)","(Coal,Salt)","(Bitumen,He,NatGas,Petrol)",,"(Bamboo,Reeds,Papyrus,Flowers)","(Fishing,Shellfish)","(Rice,Berries)",(Disease)
ASLB_004,ASLB_004,4,C1FFFF,Upland Coastal,560.0,521.0,0.0,5.0,false,0°-5°,Ice Floes,true,false,false,(Ice),"(Chalk,Clay,Coquina,Coral Limestone,Flint,Granite,Guano,Gypsum,Limestone,Marble,Sand,Slate,Stone)","(Coal,Cu,Fe,Pb,Salt,Zn)","(Bitumen,He,NatGas,Petrol)",,,"(Fishing,Game)",,
ASLB_005,ASLB_005,5,FFCC00,Lowlands,1200.0,1001.0,0.0,5.0,false,0°-5°,Low Desert,false,true,true,,"(Chalk,Clay,Coal,Gypsum,Limestone,Peat,Phosphate,Salt,Saltpeter,Sand)","(Coal,Fe,Salt)","(Bitumen,He,NatGas,Petrol)",,(Flowers),(Game),"(Grazing,Apiary)",(Drought)
ASLB_006,ASLB_006,6,FFFFCC,Highlands,2000.0,1801.0,0.0,5.0,false,0°-5°,High Desert,false,true,true,,"(Clay,Flint,Granite,Gypsum,Limestone,Marble,Sand,Slate,Stone)","(Ag,Au,Coal,Cu,Fe,Gems,Pb,Salt,Sn,Zn)",(NatGas),,(Flowers),(Game),"(Grazing,Apiary)",(Drought)
ASLB_007,ASLB_007,7,FF7C80,Wet Coastal,0.0,-10.0,0.0,5.0,false,0°-5°,Reef,false,false,true,(Flat Bottom Boat Navigable),"(Amber,Clay,Coquina,Coral,Guano,Peat,Phosphate,Salt,Sand)","(Coal,Salt)","(Bitumen,He,NatGas,Petrol)",,,"(Fishing,Shellfish)",,"(Typhoon,Waterspout)"
ASLB_008,ASLB_008,8,00CC99,Wet Coastal,0.0,-10.0,11.0,25.0,false,11°-25°,Estuary,false,true,true,(Flat Bottom Boat Navigable),"(Amber,Clay,Coquina,Coral,Guano,Peat,Phosphate,Salt,Sand)","(Coal,Salt)","(Bitumen,He,NatGas,Petrol)",,"(Bamboo,Reeds,Papyrus,Flowers)","(Fishing,Shellfish)",(Rice),"(Typhoon,Waterspout)"
ASLB_009,ASLB_009,9,008000,Upland Coastal,600.0,561.0,26.0,45.0,false,26°-45°,Low Timberland,true,true,true,(Timber),"(Chalk,Clay,Coquina,Coral Limestone,Flint,Granite,Guano,Gypsum,Limestone,Marble,Sand,Slate,Stone)","(Coal,Cu,Fe,Pb,Salt,Zn)","(Bitumen,He,NatGas,Petrol)",,"(Timber,Flowers)",(Game),"(Herbs,Forage,Apiary)",(Wildfire)
ASLB_010,ASLB_010,10,336600,Midlands,1800.0,1601.0,26.0,45.0,false,26°-45°,Mid Timberland,true,true,true,(Timber),"(Chalk,Clay,Coal,Flint,Gypsum,Limestone,Peat,Phosphate,Salt,Sand,Stone)","(Ag,Coal,Cu,Fe,Pb,Salt,Zn)","(Bitumen,NatGas,Petrol)",,"(Timber,Flowers)",(Game),"(Herbs,Forage,Apiary)",(Wildfire)
