---,biomeID,groundcover,trees,rocks,plants,props
ASLB_001,ASLB_001,"(Kelp,SeaGrass)",,"(ReefRock,CoralOutcrop)","(Seaweed,Anemone)",
ASLB_002,ASLB_002,"(Kelp,SeaGrass)",,"(ReefRock,CoralOutcrop,Boulder)","(Seaweed,Anemone)",
ASLB_003,ASLB_003,(Kelp),,"(ReefRock,CoralOutcrop,RockOutcrop)","(Seaweed,Anemone)",
ASLB_004,ASLB_004,(Kelp),,"(ReefRock,CoralOutcrop,CliffFace)",(Seaweed),
ASLB_005,ASLB_005,,,"(ReefRock,CoralOutcrop,CliffFace,ExposedBedrock)",,
ASLB_006,ASLB_006,,,"(CliffFace,ExposedBedrock)",,
ASLB_007,ASLB_007,"(DuneGrass,CoastalScrub,SandPatch,Reeds,Papyrus)","(WindsweptPalm,CoastalPine)",(BeachBoulder),"(SeaOats,BeachFlowers,MarshReed)","(Driftwood,FishingNet,TidePoolDebris)"
ASLB_008,ASLB_008,"(DuneGrass,CoastalScrub,SandPatch)","(WindsweptPalm,CoastalPine)","(BeachBoulder,TidePoolRock)","(SeaOats,BeachFlowers)","(Driftwood,FishingNet,TidePoolDebris)"
ASLB_009,ASLB_009,"(DuneGrass,CoastalScrub,SandPatch)","(WindsweptPalm,CoastalPine)","(BeachBoulder,TidePoolRock,Boulder)","(SeaOats,BeachFlowers)","(Driftwood,FishingNet,TidePoolDebris)"
ASLB_010,ASLB_010,"(DuneGrass,CoastalScrub)",(WindsweptPalm),"(BeachBoulder,TidePoolRock,RockOutcrop)","(SeaOats,BeachFlowers)","(Driftwood,FishingNet,TidePoolDebris)"
ASLB_011,ASLB_011,(DuneGrass),,"(BeachBoulder,TidePoolRock,CliffFace)",(SeaOats),
ASLB_012,ASLB_012,,,"(BeachBoulder,TidePoolRock,CliffFace,ExposedBedrock)",,
ASLB_013,ASLB_013,,,"(CliffFace,ExposedBedrock)",,
ASLB_014,ASLB_014,"(MeadowGrass,ClumpGrass,Reeds,Papyrus)","(Oak,Birch,MixedDeciduous)",(FieldStone),"(Wildflowers,Fern,Shrub,MarshReed)","(StoneWall,Hayrick,FencePost)"
ASLB_015,ASLB_015,"(MeadowGrass,ClumpGrass)","(Oak,Birch,MixedDeciduous)","(FieldStone,Boulder)","(Wildflowers,Fern,Shrub)","(StoneWall,Hayrick,FencePost)"
ASLB_016,ASLB_016,"(MeadowGrass,ClumpGrass)","(Oak,Birch,MixedDeciduous)","(FieldStone,Boulder)","(Wildflowers,Fern,Shrub)","(StoneWall,Hayrick,FencePost)"
