---,itemID,paletteTab,categoryPath,displayName,tooltip,icon,interactionType,levelRequired,phaseMin,jurisdictionMin,householdTierMin,researchTierMin,zoneRequired,structureCategory,structureSubTypeRow,stampRowID,townGridTemplate,militaryPackageRow,actorClass,bBlueprintLayerFree,bTransferPipeTarget,bHotkeyAssignable,bLockedByDefault,sortOrder
GridTemplate_Squared,GridTemplate_Squared,Grid,Grid/TownTemplates,T1 Squared,"T1 Squared — Orthogonal grid, seamless mosaic",/Game/InvisibleHand/UI/Icons/Grid/ICO_Grid_T1.ICO_Grid_T1,GripTemplate,MainGame,2,1,0,0,,,,,Squared,,,true,false,false,false,10
GridTemplate_Harmonic,GridTemplate_Harmonic,Grid,Grid/TownTemplates,T2 Harmonic,"T2 Harmonic — Golden-ratio blocks, seamless mosaic",/Game/InvisibleHand/UI/Icons/Grid/ICO_Grid_T2.ICO_Grid_T2,GripTemplate,MainGame,2,1,0,0,,,,,Harmonic,,,true,false,false,false,20
GridTemplate_Radial,GridTemplate_Radial,Grid,Grid/TownTemplates,T3 Radial,"T3 Radial — Polar spokes + 3 rings, seamless mosaic",/Game/InvisibleHand/UI/Icons/Grid/ICO_Grid_T3.ICO_Grid_T3,GripTemplate,MainGame,2,1,0,0,,,,,Radial,,,true,false,false,false,30
GridTemplate_Citadel,GridTemplate_Citadel,Grid,Grid/TownTemplates,T4 Citadel,"T4 Citadel — Elliptical rampart + inner grid",/Game/InvisibleHand/UI/Icons/Grid/ICO_Grid_T4.ICO_Grid_T4,GripTemplate,MainGame,2,1,0,0,,,,,Citadel,,,true,false,false,false,40
GridTemplate_Valley,GridTemplate_Valley,Grid,Grid/TownTemplates,T5 Valley,"T5 Valley — Valley spine + contour lanes",/Game/InvisibleHand/UI/Icons/Grid/ICO_Grid_T5.ICO_Grid_T5,GripTemplate,MainGame,2,1,0,0,,,,,Valley,,,true,false,false,false,50
Build_DEV_SmallHouse,Build_DEV_SmallHouse,Build,Build/DevPlaceholders,Small House,"Dev placeholder — 8×6×4 m RES",,DropActor,MainGame,2,1,0,0,RES,,,,Squared,,/Game/InvisibleHand/Structures/Actors/RES/BP_Structure_RES_SmallHouse.BP_Structure_RES_SmallHouse_C,true,false,false,false,10
Build_DEV_SmallDockHouse,Build_DEV_SmallDockHouse,Build,Build/DevPlaceholders,Small Dock House,"Dev placeholder — 8×6×4 m WWF",,DropActor,MainGame,2,1,0,0,WWF,,,,Squared,,/Game/InvisibleHand/Structures/Actors/WWF/BP_Structure_WWF_SmallDockHouse.BP_Structure_WWF_SmallDockHouse_C,true,false,false,false,20
Build_DEV_MediumWorkshop,Build_DEV_MediumWorkshop,Build,Build/DevPlaceholders,Medium Workshop,"Dev placeholder — 12×8×5 m LID",,DropActor,MainGame,2,1,0,0,LID,,,,Squared,,/Game/InvisibleHand/Structures/Actors/LID/BP_Structure_LID_MediumWorkshop.BP_Structure_LID_MediumWorkshop_C,true,false,false,false,30
Build_DEV_LargeChurch,Build_DEV_LargeChurch,Build,Build/DevPlaceholders,Large Church,"Dev placeholder — 16×10×6 m CHA",,DropActor,MainGame,2,1,0,0,CHA,,,,Squared,,/Game/InvisibleHand/Structures/Actors/CHA/BP_Structure_CHA_LargeChurch.BP_Structure_CHA_LargeChurch_C,true,false,false,false,40
Build_DEV_GrandTheater,Build_DEV_GrandTheater,Build,Build/DevPlaceholders,Grand Theater,"Dev placeholder — 20×12×7 m CIV",,DropActor,MainGame,2,1,0,0,CIV,,,,Squared,,/Game/InvisibleHand/Structures/Actors/CIV/BP_Structure_CIV_GrandTheater.BP_Structure_CIV_GrandTheater_C,true,false,false,false,50
