---,tag,category,meshes,uniformScaleMin,uniformScaleMax,bRandomizeYaw
Kelp,Kelp,Groundcover,(),0.85,1.15,True
SeaGrass,SeaGrass,Groundcover,(),0.85,1.15,True
DuneGrass,DuneGrass,Groundcover,"(/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassA.SM_MWAM_GrassA,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassB.SM_MWAM_GrassB,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassC.SM_MWAM_GrassC,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassD.SM_MWAM_GrassD,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_05_2.SM_Grass_05_2,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_05_4.SM_Grass_05_4,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_06_3.SM_Grass_06_3)",0.7,1.3,True
CoastalScrub,CoastalScrub,Groundcover,"(/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassA.SM_MWAM_GrassA,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassB.SM_MWAM_GrassB,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassC.SM_MWAM_GrassC,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassD.SM_MWAM_GrassD,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_05_2.SM_Grass_05_2,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_05_4.SM_Grass_05_4,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_06_3.SM_Grass_06_3)",0.7,1.3,True
SandPatch,SandPatch,Groundcover,(),0.85,1.15,True
Reeds,Reeds,Groundcover,(),0.85,1.15,True
Papyrus,Papyrus,Groundcover,(),0.85,1.15,True
MeadowGrass,MeadowGrass,Groundcover,"(/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassA.SM_MWAM_GrassA,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassB.SM_MWAM_GrassB,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassC.SM_MWAM_GrassC,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassD.SM_MWAM_GrassD,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_05_2.SM_Grass_05_2,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_05_4.SM_Grass_05_4,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_06_3.SM_Grass_06_3)",0.7,1.3,True
ClumpGrass,ClumpGrass,Groundcover,"(/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassA.SM_MWAM_GrassA,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassB.SM_MWAM_GrassB,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassC.SM_MWAM_GrassC,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassD.SM_MWAM_GrassD,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_05_2.SM_Grass_05_2,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_05_4.SM_Grass_05_4,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_06_3.SM_Grass_06_3)",0.7,1.3,True
ForestFloorGrass,ForestFloorGrass,Groundcover,"(/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassA.SM_MWAM_GrassA,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassB.SM_MWAM_GrassB,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassC.SM_MWAM_GrassC,/Game/MWLandscapeAutoMaterial/Meshes/Plants/SM_MWAM_GrassD.SM_MWAM_GrassD,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_05_2.SM_Grass_05_2,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_05_4.SM_Grass_05_4,/Game/OWD_Plants_Pack/Add_Props/Grass/Meshes/SM_Grass_06_3.SM_Grass_06_3)",0.7,1.3,True
