Name,Origin,Name,Transliteration
Britain_Adlestrop,Britain,Adlestrop,Aethel’s Village
Britain_Aldborough,Britain,Aldborough,Old Fort or Settlement
Britain_Aldwark,Britain,Aldwark,Old Work (Fortification)
Britain_Alfriston,Britain,Alfriston,Aelfric’s Town
Britain_Alnwick,Britain,Alnwick,By the River Aln
Britain_Ampthill,Britain,Ampthill,Ant Hill
Britain_Ardingly,Britain,Ardingly,Earda’s Meadow
Britain_Ashby,Britain,Ashby,Ash Tree Settlement
Britain_Atherstone,Britain,Atherstone,Aethelred’s Town
Britain_Bampton,Britain,Bampton,Beam Town (Tree or Timber Town)
Britain_Barton,Britain,Barton,Barley Town
Britain_Beckington,Britain,Beckington,Becca’s Town
Britain_Bedwyn,Britain,Bedwyn,Beda’s Settlement
Britain_Bewdley,Britain,Bewdley,Beautiful Meadow
Britain_Biddulph,Britain,Biddulph,Bidi’s Wolf
Britain_Binham,Britain,Binham,Binna’s Homestead
Britain_Blanchland,Britain,Blanchland,White Land
Britain_Bletchingley,Britain,Bletchingley,Blaecc’s Meadow
Britain_Chalfont,Britain,Chalfont,Chalk Spring
Britain_Charlbury,Britain,Charlbury,Ceorl’s Fort
Britain_Chepstow,Britain,Chepstow,Market Place
Britain_Chewton,Britain,Chewton,Ceawa’s Town
Britain_Chiddingfold,Britain,Chiddingfold,Cida’s Fold
Britain_Chipping_Norton,Britain,Chipping Norton,Market at Norton
Britain_Chulmleigh,Britain,Chulmleigh,Ceolmund’s Meadow
Britain_Cleobury,Britain,Cleobury,Clay Fort
Britain_Cricklade,Britain,Cricklade,Creek Hill
Britain_Deddington,Britain,Deddington,Daeda’s Town
Britain_Denby,Britain,Denby,Dane’s Settlement
Britain_Dilwyn,Britain,Dilwyn,Ditch Meadow
Britain_Ditchling,Britain,Ditchling,Dic’s Meadow
Britain_Dolton,Britain,Dolton,Dale Town
Britain_Donnington,Britain,Donnington,Dunn’s Town
Britain_Droitwich,Britain,Droitwich,Right Saltworks
Britain_Dunstable,Britain,Dunstable,Dun’s Hill
Britain_Dymock,Britain,Dymock,Dim Oak
Britain_Easby,Britain,Easby,East Settlement
Britain_Easingwold,Britain,Easingwold,Easing’s Forest Clearing
Britain_Edington,Britain,Edington,Ead’s Town
Britain_Elmley,Britain,Elmley,Elm Meadow
Britain_Elton,Britain,Elton,Ella’s Town
Britain_Epworth,Britain,Epworth,Eoppa’s Enclosure
Britain_Evenlode,Britain,Evenlode,Even River
Britain_Evercreech,Britain,Evercreech,Evergreen Stream
Britain_Ewhurst,Britain,Ewhurst,Yew Wood
Britain_Finchale,Britain,Finchale,Finch Valley
Britain_Fletching,Britain,Fletching,Flecca’s People
Britain_Flitwick,Britain,Flitwick,River Fort
Britain_Fotheringhay,Britain,Fotheringhay,Fodder Meadow
Britain_Framlingham,Britain,Framlingham,Fram’s Homestead
Britain_Fremington,Britain,Fremington,Fram’s Town
