Num,SeedWord,Length
1,abbey,5
2,abbot,5
3,abide,5
4,abode,5
5,about,5
6,above,5
7,acorn,5
8,acres,5
9,actor,5
10,acute,5
11,adapt,5
12,added,5
13,admit,5
14,adopt,5
15,adore,5
16,adult,5
17,afoot,5
18,afore,5
19,after,5
20,again,5
21,agape,5
22,agent,5
23,agile,5
24,agree,5
25,ahead,5
26,alarm,5
27,album,5
28,alder,5
29,alert,5
30,alibi,5
31,alien,5
32,align,5
33,alike,5
34,alive,5
35,alley,5
36,alloy,5
37,aloft,5
38,alone,5
39,aloof,5
40,aloud,5
41,alpha,5
42,altar,5
43,alter,5
44,amaze,5
45,amber,5
46,amble,5
47,amend,5
48,amiss,5
49,among,5
50,ample,5
51,amuse,5
52,anger,5
53,angle,5
54,angry,5
55,ankle,5
56,annex,5
57,antic,5
58,antsy,5
59,anvil,5
60,apart,5
61,apple,5
62,april,5
63,apron,5
64,arbor,5
65,ardor,5
66,arena,5
67,argue,5
68,arise,5
69,armor,5
70,aroma,5
71,arose,5
72,array,5
73,arrow,5
74,ashen,5
75,aside,5
76,asked,5
77,aspen,5
78,assay,5
79,asset,5
80,atlas,5
81,atone,5
82,attic,5
83,audio,5
84,augur,5
85,avail,5
86,avert,5
87,avoid,5
88,awake,5
89,aware,5
90,awash,5
91,awful,5
92,axiom,5
93,azure,5
94,bacon,5
95,badge,5
96,badly,5
97,baker,5
98,balmy,5
99,banal,5
100,bandy,5
101,banjo,5
102,banks,5
103,barge,5
104,baron,5
105,based,5
106,basis,5
107,batch,5
108,bathe,5
109,baton,5
110,beach,5
111,beads,5
112,beams,5
113,beans,5
114,beard,5
115,beast,5
116,beats,5
117,beech,5
118,beefy,5
119,began,5
120,beget,5
121,begin,5
122,begun,5
123,being,5
124,belly,5
125,below,5
126,belts,5
127,bench,5
128,bends,5
129,berry,5
130,berth,5
131,beset,5
132,bevel,5
133,bicep,5
134,biddy,5
135,bight,5
136,bikes,5
137,birch,5
138,birds,5
139,birth,5
140,bison,5
141,bitty,5
142,black,5
143,blade,5
144,blame,5
145,bland,5
146,blast,5
147,blaze,5
148,bleak,5
149,bleed,5
150,blend,5
151,bless,5
152,blimp,5
153,blind,5
154,bliss,5
155,block,5
156,blond,5
157,bloom,5
158,blowy,5
159,blues,5
160,bluff,5
161,blunt,5
162,blurt,5
163,blush,5
164,board,5
165,boast,5
166,boats,5
167,bogey,5
168,boggy,5
169,bogus,5
170,boils,5
171,bolts,5
172,bondi,5
173,bones,5
174,bongo,5
175,bonny,5
176,bonus,5
177,books,5
178,boost,5
179,booth,5
180,borax,5
181,botch,5
182,bough,5
183,bound,5
184,bowls,5
185,boxer,5
186,brace,5
187,brain,5
188,brake,5
189,brand,5
190,brass,5
191,bravo,5
192,brawn,5
193,break,5
194,breed,5
195,briar,5
196,brick,5
197,bride,5
198,brief,5
199,brink,5
200,brisk,5
201,broad,5
202,broil,5
203,broke,5
204,broom,5
205,broth,5
206,brown,5
207,brunt,5
208,brush,5
209,brute,5
210,buddy,5
211,budge,5
212,buggy,5
213,bugle,5
214,built,5
215,bulbs,5
216,bulge,5
217,bulky,5
218,bully,5
